Bin I L V PA
0 7.509e-02 5.556e-02 7.013e-02 0.000e+00
1 1.125e-01 -6.188e-02 -5.654e-03 0.000e+00
2 -5.626e-04 -7.168e-02 2.076e-02 0.000e+00
3 -6.816e-03 -6.696e-02 3.749e-02 0.000e+00
4 0.000e+00 3.884e-02 -1.765e-02 0.000e+00
5 3.008e-02 -2.343e-03 4.163e-02 0.000e+00
6 1.676e-02 -7.724e-02 2.503e-02 0.000e+00
7 -3.428e-03 -4.379e-04 -4.975e-04 0.000e+00
8 4.616e-02 1.644e-03 -8.330e-02 0.000e+00
9 -7.882e-02 6.730e-02 -4.846e-02 0.000e+00
10 -5.348e-03 2.922e-02 7.494e-02 0.000e+00
11 -6.437e-02 6.413e-02 3.845e-02 0.000e+00
12 3.324e-02 -7.199e-02 7.710e-02 0.000e+00
13 3.508e-04 -2.920e-03 -2.351e-02 0.000e+00
14 1.950e-02 -5.299e-02 7.593e-02 0.000e+00
15 -4.726e-02 6.710e-03 -2.548e-02 0.000e+00
16 -2.069e-02 -7.219e-02 -7.933e-02 0.000e+00
17 -3.752e-03 3.987e-02 -7.799e-02 0.000e+00
18 2.941e-02 4.195e-02 -2.544e-02 0.000e+00
19 4.874e-02 9.969e-02 1.686e-02 1.345e+01
20 5.970e-02 1.329e-01 7.711e-02 1.123e+02
21 -1.396e-02 -8.219e-02 8.301e-03 0.000e+00
22 -2.465e-02 2.159e-02 -2.809e-02 0.000e+00
23 4.081e-03 1.351e-02 1.097e-01 0.000e+00
24 -4.411e-02 -7.286e-02 -3.036e-02 0.000e+00
25 -1.450e-02 1.941e-02 -1.424e-02 0.000e+00
26 -4.092e-02 -1.342e-02 8.520e-02 0.000e+00
27 9.746e-02 1.964e-02 -1.059e-02 0.000e+00
28 1.773e-02 -5.179e-02 3.788e-02 0.000e+00
29 -1.222e-02 -7.229e-02 9.261e-02 0.000e+00
30 -7.382e-02 8.811e-02 -5.289e-02 0.000e+00
31 3.238e-03 1.128e-01 4.303e-03 2.761e+01
32 -4.253e-02 5.765e-02 1.367e-02 0.000e+00
33 6.757e-03 -6.867e-02 -5.631e-02 0.000e+00
34 -9.661e-02 -7.939e-02 2.153e-02 0.000e+00
35 -6.823e-02 -5.022e-02 -3.453e-02 0.000e+00
36 3.658e-02 -4.768e-02 -5.641e-02 0.000e+00
37 -2.128e-03 4.186e-02 -8.556e-03 0.000e+00
38 -6.147e-02 -7.564e-02 -5.752e-02 0.000e+00
39 8.654e-02 -8.377e-02 4.166e-02 0.000e+00
40 -2.185e-02 1.052e-01 -1.232e-02 -2.257e+01
41 -9.419e-02 2.795e-02 2.931e-02 0.000e+00
42 8.608e-03 -4.429e-02 6.993e-03 0.000e+00
43 1.099e-01 6.309e-02 6.169e-03 0.000e+00
44 2.409e-02 -8.292e-03 3.281e-02 0.000e+00
45 8.277e-02 -2.899e-03 -2.338e-02 0.000e+00
46 7.775e-02 -2.251e-03 1.039e-02 0.000e+00
47 3.211e-02 6.228e-02 6.157e-02 0.000e+00
48 3.438e-02 -7.553e-02 -5.625e-02 0.000e+00
49 -4.456e-02 4.606e-03 2.132e-02 0.000e+00
50 4.448e-03 -3.964e-02 -6.243e-02 0.000e+00
51 -2.315e-02 2.062e-02 -1.086e-02 0.000e+00
52 1.244e-02 6.596e-02 -4.913e-02 0.000e+00
53 1.251e-01 5.775e-03 -2.446e-02 0.000e+00
54 -1.155e-02 -8.403e-02 1.631e-02 0.000e+00
55 1.036e-01 4.469e-02 1.467e-02 0.000e+00
56 1.233e-02 1.040e-02 1.004e-01 0.000e+00
