Bin I L V PA
0 8.498e-03 1.209e-02 -7.652e-03 0.000e+00
1 -3.546e-03 -2.170e-02 -8.581e-04 0.000e+00
2 -4.283e-03 -1.847e-02 -1.900e-02 0.000e+00
3 1.074e-03 2.564e-02 -2.136e-02 0.000e+00
4 7.361e-03 -2.543e-02 9.144e-03 0.000e+00
5 -6.614e-03 3.764e-03 3.083e-03 0.000e+00
6 -2.117e-02 3.522e-02 -1.380e-02 -1.984e+01
7 -1.618e-02 8.089e-03 -1.093e-02 0.000e+00
8 -8.936e-03 -2.354e-02 -1.000e-02 0.000e+00
9 2.397e-02 1.219e-02 1.466e-02 0.000e+00
10 -9.785e-03 -2.474e-02 -1.043e-02 0.000e+00
11 3.828e-02 2.821e-02 -1.980e-02 -7.071e+01
12 -1.278e-02 6.568e-03 1.330e-02 0.000e+00
13 7.819e-03 1.417e-02 -6.700e-03 0.000e+00
14 1.262e-02 1.651e-02 -2.482e-03 0.000e+00
15 1.150e-02 -2.012e-02 -1.742e-02 0.000e+00
16 1.014e-02 -2.425e-02 -1.513e-02 0.000e+00
17 4.080e-03 9.185e-03 -1.103e-02 0.000e+00
18 -4.314e-03 1.408e-02 2.401e-02 0.000e+00
19 -2.542e-03 2.106e-03 -1.979e-02 0.000e+00
20 2.856e-02 -1.840e-02 1.311e-02 0.000e+00
21 -1.337e-03 -2.516e-03 2.313e-02 0.000e+00
22 1.769e-02 -1.422e-02 2.543e-03 0.000e+00
23 -1.078e-02 -2.626e-02 1.190e-02 0.000e+00
24 -1.197e-03 -1.639e-02 1.013e-02 0.000e+00
25 1.996e-02 -2.165e-04 5.471e-04 0.000e+00
26 -2.115e-02 -2.082e-02 -6.573e-03 0.000e+00
27 2.641e-02 1.935e-03 -2.140e-02 0.000e+00
28 -1.361e-02 -2.548e-02 -1.443e-02 0.000e+00
29 0.000e+00 1.093e-02 2.341e-02 0.000e+00
30 1.164e-02 -2.540e-02 3.515e-02 0.000e+00
31 1.284e-02 4.041e-02 1.775e-03 -1.060e+02
32 8.495e-03 8.059e-03 1.552e-02 0.000e+00
33 -7.172e-03 1.594e-02 -2.311e-02 0.000e+00
34 1.507e-02 2.804e-02 1.906e-02 -4.447e+01
35 1.608e-02 2.537e-02 -6.336e-03 0.000e+00
36 -5.796e-03 2.471e-02 1.514e-02 0.000e+00
37 1.234e-03 -1.787e-02 5.345e-03 0.000e+00
38 2.252e-02 -2.630e-02 2.769e-04 0.000e+00
39 -1.935e-02 3.919e-02 2.592e-02 -1.018e+02
40 4.930e-03 3.550e-02 1.280e-02 4.181e+01
41 -4.999e-03 1.187e-02 -1.315e-02 0.000e+00
42 -4.155e-03 3.540e-02 -3.238e-02 -5.471e+01
43 -1.451e-02 -2.509e-02 -7.663e-03 0.000e+00
44 6.635e-04 3.198e-02 1.001e-03 -9.547e+01
45 4.249e-05 3.551e-02 1.032e-03 3.418e+01
46 1.338e-02 -2.489e-02 2.000e-02 0.000e+00
47 -3.486e-02 -2.385e-02 -1.890e-03 0.000e+00
