Bin I L V PA
0 1.058e-02 -1.033e-02 4.538e-04 0.000e+00
1 3.655e-03 8.949e-03 9.603e-03 0.000e+00
2 1.163e-03 2.537e-03 -6.099e-03 0.000e+00
3 1.132e-02 2.453e-04 1.232e-03 0.000e+00
4 7.295e-03 -8.983e-04 -1.763e-03 0.000e+00
5 8.669e-03 -1.003e-02 1.973e-03 0.000e+00
6 7.429e-03 9.123e-04 6.935e-03 0.000e+00
7 1.056e-02 2.868e-03 -4.056e-03 0.000e+00
8 -5.704e-03 -9.368e-04 -1.747e-03 0.000e+00
9 1.185e-03 -1.042e-02 -3.772e-04 0.000e+00
10 2.412e-02 7.260e-03 -2.966e-03 0.000e+00
11 -1.134e-03 2.736e-03 5.631e-03 0.000e+00
12 2.503e-03 4.866e-03 4.561e-03 0.000e+00
13 1.442e-02 1.477e-02 9.212e-03 8.464e+01
14 4.916e-03 2.781e-03 -7.866e-03 0.000e+00
15 1.289e-03 2.991e-03 1.173e-02 0.000e+00
16 9.958e-03 -1.034e-02 1.037e-03 0.000e+00
17 -3.011e-03 1.240e-02 4.021e-03 -4.201e+00
18 -8.976e-03 6.753e-03 1.088e-02 0.000e+00
19 6.853e-03 -9.261e-03 3.308e-03 0.000e+00
20 1.309e-02 1.273e-03 -3.259e-03 0.000e+00
21 -1.565e-03 -9.901e-03 -1.190e-03 0.000e+00
22 2.276e-03 -6.399e-03 -7.036e-03 0.000e+00
23 -7.924e-03 1.894e-03 -2.554e-04 0.000e+00
24 -1.329e-03 -1.054e-02 4.978e-03 0.000e+00
25 5.736e-03 -6.514e-04 -7.725e-03 0.000e+00
26 3.970e-03 3.751e-03 1.559e-03 0.000e+00
27 1.546e-02 2.923e-03 -4.105e-03 0.000e+00
28 9.127e-03 3.104e-04 -1.393e-02 0.000e+00
29 7.432e-03 2.193e-03 -3.975e-04 0.000e+00
30 4.576e-03 2.079e-03 -7.784e-03 0.000e+00
31 -1.078e-03 -7.230e-03 -5.173e-03 0.000e+00
32 3.426e-03 9.846e-03 -3.765e-03 0.000e+00
33 -8.258e-03 -1.044e-02 -2.126e-03 0.000e+00
34 3.378e-03 -4.951e-04 4.017e-03 0.000e+00
35 -2.093e-03 6.672e-03 -1.150e-02 0.000e+00
36 8.982e-04 -9.724e-03 1.458e-03 0.000e+00
37 0.000e+00 -1.086e-02 6.605e-03 0.000e+00
38 2.532e-04 -1.000e-02 4.217e-03 0.000e+00
39 1.313e-02 1.020e-02 8.826e-04 0.000e+00
40 6.011e-03 3.485e-03 2.356e-03 0.000e+00
41 4.973e-03 -6.464e-03 3.782e-04 0.000e+00
42 2.424e-03 8.605e-03 -1.090e-02 0.000e+00
43 1.636e-02 1.735e-03 -8.516e-03 0.000e+00
44 9.910e-03 -1.080e-02 -2.097e-04 0.000e+00
45 3.312e-03 -1.353e-03 1.115e-02 0.000e+00
46 -4.212e-03 2.419e-03 2.821e-03 0.000e+00
47 6.003e-03 -1.020e-02 -1.319e-02 0.000e+00
48 -5.557e-03 -7.852e-03 -2.643e-03 0.000e+00
49 7.285e-03 7.560e-03 1.241e-02 0.000e+00
50 7.834e-03 7.388e-04 8.171e-03 0.000e+00
51 8.304e-03 -6.640e-04 -6.878e-03 0.000e+00
52 1.094e-02 5.630e-03 -1.225e-03 0.000e+00
53 6.796e-03 -7.218e-03 7.886e-03 0.000e+00
54 -4.825e-03 -1.052e-02 1.340e-02 0.000e+00
55 -7.431e-03 -3.020e-04 1.114e-02 0.000e+00
56 -4.248e-03 -9.668e-03 -9.593e-03 0.000e+00
57 1.228e-02 3.918e-03 8.099e-03 0.000e+00
58 -1.152e-02 -1.032e-02 7.869e-04 0.000e+00
59 1.834e-03 9.791e-03 3.951e-03 0.000e+00
60 5.213e-04 6.875e-04 -3.061e-04 0.000e+00
61 2.454e-03 -6.229e-03 1.663e-03 0.000e+00
