Bin I L V PA
0 -1.586e-03 -3.162e-02 -8.095e-03 0.000e+00
1 1.363e-02 -3.091e-02 7.159e-03 0.000e+00
2 2.324e-02 1.143e-02 -3.086e-04 0.000e+00
3 2.575e-02 -3.116e-02 -8.938e-03 0.000e+00
4 -1.032e-02 1.017e-02 -2.602e-02 0.000e+00
5 -2.529e-02 -5.715e-03 -1.380e-02 0.000e+00
6 -1.807e-02 3.005e-02 2.385e-02 0.000e+00
7 -2.071e-03 -2.421e-02 1.981e-02 0.000e+00
8 1.615e-02 7.947e-03 -1.483e-02 0.000e+00
9 1.602e-02 -3.205e-02 -1.323e-02 0.000e+00
10 9.745e-03 3.552e-06 -2.185e-02 0.000e+00
11 -5.681e-03 -3.185e-02 1.935e-02 0.000e+00
12 1.971e-02 3.409e-04 -5.634e-03 0.000e+00
13 -1.260e-02 1.890e-02 1.047e-02 0.000e+00
14 -9.562e-03 1.102e-02 -4.291e-05 0.000e+00
15 4.228e-02 -3.375e-02 2.638e-03 0.000e+00
16 -2.589e-02 -2.828e-02 -1.833e-02 0.000e+00
17 -2.214e-03 -3.340e-02 4.401e-02 0.000e+00
18 -9.629e-03 -7.701e-04 7.091e-03 0.000e+00
19 -9.269e-03 2.129e-02 2.096e-02 0.000e+00
20 -3.625e-03 -1.768e-03 -3.874e-03 0.000e+00
21 1.561e-02 -2.907e-02 -5.994e-03 0.000e+00
22 1.655e-03 1.717e-02 -4.627e-03 0.000e+00
23 2.459e-02 -1.516e-02 -1.234e-02 0.000e+00
24 -2.178e-02 9.948e-03 -6.664e-03 0.000e+00
25 -9.936e-04 9.326e-03 1.374e-02 0.000e+00
26 1.080e-02 -6.816e-03 1.149e-03 0.000e+00
27 -1.314e-02 3.619e-02 1.790e-03 8.920e+01
28 -9.151e-03 7.915e-03 2.816e-02 0.000e+00
29 1.815e-02 -3.309e-02 9.220e-03 0.000e+00
30 1.133e-03 -3.314e-02 -2.216e-02 0.000e+00
31 3.659e-03 -2.219e-02 1.837e-02 0.000e+00
32 -1.989e-02 6.375e-04 1.281e-03 0.000e+00
33 -5.026e-03 2.898e-02 6.204e-03 0.000e+00
34 -1.634e-02 1.923e-02 2.193e-03 0.000e+00
35 9.597e-03 3.073e-02 3.813e-03 0.000e+00
36 -5.802e-04 1.546e-02 4.667e-02 0.000e+00
37 1.252e-02 5.042e-03 2.708e-02 0.000e+00
38 -2.611e-03 1.229e-02 -1.142e-02 0.000e+00
39 -8.865e-03 1.515e-02 7.993e-03 0.000e+00
40 -1.409e-02 -3.212e-02 5.558e-03 0.000e+00
41 3.196e-03 1.269e-02 -3.086e-02 0.000e+00
42 -1.074e-02 4.624e-03 2.924e-02 0.000e+00
43 1.587e-02 -3.003e-02 -1.201e-02 0.000e+00
44 4.591e-03 4.983e-03 -4.351e-02 0.000e+00
45 2.919e-02 -4.973e-03 4.724e-03 0.000e+00
46 -2.484e-02 2.437e-03 -2.984e-02 0.000e+00
47 2.335e-02 6.358e-03 -2.755e-03 0.000e+00
48 7.494e-04 -2.962e-02 1.437e-02 0.000e+00
49 1.353e-02 -1.060e-03 -9.373e-03 0.000e+00
50 1.338e-02 4.459e-03 1.923e-02 0.000e+00
51 -7.458e-04 -2.912e-02 -1.195e-02 0.000e+00
52 -2.603e-02 1.727e-02 -6.977e-03 0.000e+00
53 1.379e-02 -2.876e-02 -6.688e-03 0.000e+00
54 -1.492e-03 3.454e-02 2.006e-02 1.301e+02
55 -2.618e-03 -2.909e-02 -4.528e-03 0.000e+00
56 1.595e-02 -2.751e-02 -2.213e-02 0.000e+00
57 -4.105e-02 -3.272e-02 -1.368e-02 0.000e+00
58 2.481e-03 -3.664e-04 -1.147e-02 0.000e+00
59 9.666e-04 -6.858e-04 -9.810e-04 0.000e+00
60 -2.445e-02 1.425e-02 -1.516e-02 0.000e+00
61 -2.577e-02 1.745e-03 1.760e-03 0.000e+00
62 -1.887e-02 -2.699e-02 -2.155e-02 0.000e+00
63 -5.389e-03 -3.032e-03 1.204e-02 0.000e+00
64 1.569e-02 -2.103e-02 2.281e-02 0.000e+00
65 -9.026e-03 3.088e-02 -3.162e-02 0.000e+00
66 1.474e-02 1.324e-02 3.359e-02 0.000e+00
67 2.824e-02 4.771e-02 1.938e-05 -2.302e+01
68 3.583e-02 -2.204e-02 1.331e-02 0.000e+00
69 6.735e-02 6.656e-03 -2.064e-02 0.000e+00
70 1.667e-01 7.612e-02 1.008e-02 5.972e+01
71 3.484e-01 1.179e-01 4.410e-03 4.191e+01
72 6.829e-01 1.842e-01 -2.767e-03 4.565e+01
73 8.847e-01 2.320e-01 8.580e-03 4.298e+01
74 9.815e-01 2.302e-01 2.752e-02 4.547e+01
75 1.000e+00 2.331e-01 -2.850e-02 4.574e+01
76 9.816e-01 2.484e-01 -3.565e-02 4.253e+01
77 9.730e-01 1.820e-01 1.169e-02 4.120e+01
78 9.680e-01 1.910e-01 2.011e-02 4.942e+01
79 9.400e-01 2.406e-01 -8.227e-03 4.602e+01
80 9.178e-01 2.162e-01 -1.863e-03 4.655e+01
81 8.154e-01 2.022e-01 3.438e-03 4.378e+01
82 7.985e-01 1.841e-01 -2.397e-02 4.408e+01
83 7.200e-01 1.743e-01 1.298e-03 4.576e+01
84 7.086e-01 1.603e-01 -2.608e-02 4.808e+01
85 6.569e-01 1.508e-01 1.395e-02 4.052e+01
86 5.631e-01 1.193e-01 3.810e-04 4.260e+01
87 5.770e-01 1.322e-01 1.448e-02 4.707e+01
88 5.193e-01 1.445e-01 -2.917e-02 4.556e+01
89 4.834e-01 1.014e-01 -1.776e-03 4.216e+01
90 4.362e-01 1.212e-01 1.820e-02 4.405e+01
91 4.345e-01 1.105e-01 -2.528e-02 4.503e+01
92 4.124e-01 8.741e-02 -2.134e-02 5.010e+01
93 3.629e-01 7.484e-02 -2.384e-02 4.150e+01
94 3.737e-01 5.210e-02 -2.101e-02 4.916e+01
95 3.398e-01 6.171e-02 2.958e-02 3.581e+01
96 3.273e-01 4.070e-02 -1.412e-02 5.656e+01
97 3.594e-01 5.522e-02 9.444e-03 2.786e+01
98 3.337e-01 5.806e-02 6.971e-03 4.673e+01
99 2.563e-01 7.682e-02 -6.879e-03 3.750e+01
100 2.375e-01 -2.584e-02 -6.863e-03 0.000e+00
101 2.694e-01 6.478e-02 -4.231e-02 5.462e+01
102 2.311e-01 5.843e-02 1.327e-02 3.432e+01
103 2.305e-01 4.445e-02 -4.575e-03 4.083e+01
104 2.105e-01 2.126e-02 1.719e-03 0.000e+00
105 2.015e-01 3.817e-02 -1.570e-02 3.622e+01
106 1.949e-01 2.770e-02 -3.259e-02 0.000e+00
107 2.140e-01 8.584e-03 -3.287e-02 0.000e+00
108 1.306e-01 1.609e-02 -2.412e-02 0.000e+00
109 1.577e-01 -2.627e-02 1.702e-02 0.000e+00
110 1.433e-01 -2.449e-02 -8.809e-03 0.000e+00
111 1.057e-01 -1.786e-02 -5.101e-03 0.000e+00
112 1.170e-01 1.815e-02 -1.102e-02 0.000e+00
113 1.093e-01 3.831e-02 -1.268e-02 6.873e+01
114 1.180e-01 2.600e-02 -2.159e-02 0.000e+00
115 9.870e-02 1.566e-02 -1.956e-02 0.000e+00
116 1.018e-01 1.930e-02 1.245e-02 0.000e+00
117 1.229e-01 8.681e-03 -1.258e-02 0.000e+00
118 8.733e-02 4.234e-02 -2.403e-02 2.066e+01
119 1.072e-01 -2.293e-02 2.457e-02 0.000e+00
120 1.192e-01 5.312e-03 1.238e-02 0.000e+00
121 1.047e-01 -2.890e-02 -1.439e-02 0.000e+00
122 1.023e-01 3.248e-03 -4.668e-04 0.000e+00
123 7.150e-02 1.215e-02 -1.117e-02 0.000e+00
124 6.474e-02 2.024e-02 -1.070e-02 0.000e+00
125 4.820e-02 3.345e-02 1.253e-02 6.057e+01
126 9.118e-02 9.922e-03 1.747e-02 0.000e+00
127 5.883e-02 -2.278e-02 2.279e-02 0.000e+00
128 7.268e-02 -1.062e-03 -2.123e-02 0.000e+00
129 5.854e-02 -3.113e-02 -1.280e-02 0.000e+00
130 5.998e-02 1.757e-02 -1.196e-02 0.000e+00
131 5.570e-02 2.139e-02 -5.387e-02 0.000e+00
132 5.413e-02 3.895e-02 -6.026e-03 5.947e+00
133 3.986e-02 4.330e-02 -1.958e-02 4.861e+01
134 4.692e-02 4.444e-03 -2.939e-03 0.000e+00
135 5.542e-02 2.818e-03 3.271e-02 0.000e+00
136 5.660e-02 8.643e-03 -1.564e-03 0.000e+00
137 2.760e-02 1.080e-02 9.167e-03 0.000e+00
138 6.666e-02 2.866e-02 -1.269e-02 0.000e+00
139 5.258e-02 -5.468e-03 9.921e-03 0.000e+00
140 3.711e-02 1.159e-02 -1.322e-03 0.000e+00
141 3.397e-02 4.880e-02 -5.620e-03 6.564e+00
142 3.782e-02 -3.295e-02 -1.199e-02 0.000e+00
143 -4.677e-04 -2.592e-02 1.860e-02 0.000e+00
144 2.890e-02 1.745e-02 -6.677e-04 0.000e+00
145 6.337e-02 -3.062e-02 -1.454e-02 0.000e+00
146 2.905e-02 -3.090e-02 -2.007e-02 0.000e+00
147 3.922e-02 -2.557e-02 3.522e-03 0.000e+00
148 1.192e-02 -2.964e-02 -9.345e-03 0.000e+00
149 -6.673e-03 -2.341e-02 2.959e-02 0.000e+00
150 -5.963e-04 -2.596e-02 3.229e-02 0.000e+00
151 5.324e-02 -1.908e-04 -2.421e-03 0.000e+00
152 3.319e-02 1.368e-04 7.746e-04 0.000e+00
153 -1.907e-03 -1.076e-02 1.605e-02 0.000e+00
154 -4.449e-02 1.102e-02 -3.979e-02 0.000e+00
155 4.750e-02 -8.765e-04 1.888e-02 0.000e+00
156 2.418e-02 -6.729e-03 -4.211e-02 0.000e+00
157 -2.673e-02 3.916e-03 9.207e-03 0.000e+00
158 1.732e-02 2.004e-02 -9.325e-03 0.000e+00
159 1.825e-02 7.408e-03 2.177e-03 0.000e+00
160 6.391e-03 9.897e-03 6.866e-03 0.000e+00
161 -1.003e-02 1.679e-02 -2.797e-02 0.000e+00
162 7.339e-03 2.083e-02 1.129e-02 0.000e+00
163 2.139e-02 -2.421e-02 -1.862e-03 0.000e+00
164 2.189e-03 5.789e-03 -3.617e-03 0.000e+00
165 2.173e-02 2.749e-02 8.889e-04 0.000e+00
166 2.936e-02 -2.787e-02 -2.013e-02 0.000e+00
167 4.718e-03 -3.064e-02 -1.587e-03 0.000e+00
168 -3.870e-03 -2.994e-02 -1.663e-02 0.000e+00
169 -2.744e-02 1.440e-02 1.547e-03 0.000e+00
170 1.799e-02 1.085e-02 -4.600e-03 0.000e+00
171 2.784e-02 1.739e-02 1.597e-03 0.000e+00
172 6.724e-03 -2.988e-02 -2.692e-02 0.000e+00
173 3.605e-02 1.450e-02 2.130e-02 0.000e+00
174 -3.794e-03 -2.441e-02 -1.154e-02 0.000e+00
175 6.322e-03 3.590e-02 -4.185e-02 7.515e+01
176 -9.737e-03 9.714e-03 2.466e-02 0.000e+00
177 7.750e-03 -4.531e-03 -7.643e-03 0.000e+00
178 -1.025e-02 -3.308e-02 6.784e-03 0.000e+00
179 -1.597e-02 -9.932e-03 2.111e-02 0.000e+00
180 2.802e-02 -1.504e-02 -2.862e-02 0.000e+00
181 -1.933e-03 -3.137e-02 2.243e-02 0.000e+00
182 -1.224e-02 2.469e-03 1.093e-02 0.000e+00
183 -1.859e-02 5.646e-03 -2.808e-03 0.000e+00
184 2.317e-03 -3.375e-02 1.316e-02 0.000e+00
185 2.472e-02 -3.301e-02 1.031e-02 0.000e+00
186 7.582e-04 -2.665e-02 1.564e-03 0.000e+00
187 -1.760e-02 -1.433e-03 -2.247e-03 0.000e+00
188 -1.009e-02 -3.552e-06 -6.506e-02 0.000e+00
189 -2.781e-02 2.075e-02 -1.162e-02 0.000e+00
190 3.378e-03 3.153e-02 -1.061e-02 8.573e+01
191 -2.508e-02 -2.692e-02 -1.016e-02 0.000e+00
192 -4.415e-02 2.315e-03 -6.202e-03 0.000e+00
193 -5.772e-03 6.339e-03 2.573e-03 0.000e+00
194 -1.037e-02 1.107e-02 -5.137e-03 0.000e+00
195 1.075e-02 -2.214e-02 -1.321e-02 0.000e+00
196 4.246e-02 -3.258e-02 -2.065e-03 0.000e+00
197 2.604e-02 -1.057e-02 1.621e-02 0.000e+00
198 -1.555e-02 2.015e-02 4.291e-05 0.000e+00
199 -9.999e-03 -3.002e-02 7.625e-03 0.000e+00
200 -3.154e-02 -3.340e-02 -1.017e-02 0.000e+00
201 -1.621e-02 -2.620e-03 -1.768e-02 0.000e+00
202 -1.150e-03 -2.801e-02 -6.694e-03 0.000e+00
203 7.261e-03 -2.684e-03 -2.852e-02 0.000e+00
204 7.027e-04 1.465e-02 -2.064e-02 0.000e+00
205 2.731e-02 5.132e-02 1.069e-02 1.311e+02
206 1.657e-02 2.382e-02 -6.235e-03 0.000e+00
207 6.097e-03 -2.773e-02 1.337e-03 0.000e+00
208 -9.729e-03 -3.348e-02 2.369e-02 0.000e+00
209 9.976e-03 8.738e-04 -1.128e-02 0.000e+00
210 -1.869e-02 8.256e-03 -2.969e-02 0.000e+00
211 4.567e-02 -8.835e-03 -1.935e-03 0.000e+00
212 1.767e-02 -3.135e-02 5.746e-03 0.000e+00
213 -1.294e-02 -2.133e-02 3.551e-03 0.000e+00
214 -4.124e-03 1.460e-02 -1.444e-02 0.000e+00
215 2.917e-02 -4.745e-03 -2.197e-02 0.000e+00
216 -1.542e-02 4.933e-03 -2.183e-02 0.000e+00
217 1.689e-02 -3.216e-02 1.905e-03 0.000e+00
218 -2.185e-03 1.005e-02 2.557e-02 0.000e+00
219 -1.926e-02 1.955e-02 1.173e-02 0.000e+00
220 -2.254e-02 1.631e-02 -3.750e-02 0.000e+00
221 1.341e-02 -3.086e-02 -1.233e-02 0.000e+00
222 -2.414e-02 -5.922e-04 1.962e-02 0.000e+00
223 -1.643e-03 7.287e-03 6.921e-03 0.000e+00
224 7.208e-03 2.018e-02 2.775e-02 0.000e+00
225 2.293e-02 1.395e-02 3.471e-02 0.000e+00
226 -4.121e-04 2.151e-02 1.510e-02 0.000e+00
227 -4.480e-03 6.556e-03 -3.983e-02 0.000e+00
228 -1.368e-02 -3.965e-03 -5.180e-03 0.000e+00
229 1.778e-02 -2.610e-02 3.940e-02 0.000e+00
230 2.251e-02 -5.449e-03 -5.890e-03 0.000e+00
231 1.149e-02 -2.973e-02 -2.715e-02 0.000e+00
232 -2.013e-03 1.109e-02 -9.110e-03 0.000e+00
233 2.371e-02 -2.795e-02 -2.797e-03 0.000e+00
234 2.592e-02 8.588e-04 -8.641e-03 0.000e+00
