Bin I L V PA
0 -8.802e-03 -1.356e-02 -1.458e-02 0.000e+00
1 -9.517e-04 1.987e-02 -2.529e-02 0.000e+00
2 -1.837e-03 1.405e-02 -1.804e-02 0.000e+00
3 -1.667e-02 -1.774e-02 1.229e-02 0.000e+00
4 -1.798e-02 1.153e-02 1.346e-02 0.000e+00
5 -1.059e-02 -1.167e-02 -4.079e-03 0.000e+00
6 2.759e-02 -1.742e-02 -2.709e-03 0.000e+00
7 -1.466e-03 8.437e-03 1.004e-03 0.000e+00
8 2.673e-03 -8.999e-03 4.872e-03 0.000e+00
9 -1.627e-02 -1.793e-02 1.503e-02 0.000e+00
10 3.173e-03 -1.041e-02 -2.207e-03 0.000e+00
11 1.022e-03 1.612e-02 1.102e-02 0.000e+00
12 1.548e-03 3.236e-03 -2.062e-02 0.000e+00
13 2.429e-03 -1.444e-02 1.365e-02 0.000e+00
14 9.692e-03 5.744e-03 1.315e-02 0.000e+00
15 -7.567e-03 -1.646e-02 -1.133e-02 0.000e+00
16 1.019e-03 1.508e-02 -1.418e-02 0.000e+00
17 -1.998e-02 6.093e-03 6.211e-03 0.000e+00
18 3.386e-03 -1.016e-03 -4.356e-03 0.000e+00
19 -1.072e-03 -1.951e-02 2.335e-02 0.000e+00
20 -2.250e-02 -1.687e-02 -1.014e-02 0.000e+00
21 -1.517e-02 -1.039e-02 2.228e-02 0.000e+00
22 3.227e-03 1.417e-02 4.593e-03 0.000e+00
23 -1.220e-03 2.293e-02 1.507e-02 8.847e+00
24 5.360e-03 -1.935e-02 6.021e-03 0.000e+00
25 8.357e-03 -1.767e-02 2.049e-03 0.000e+00
26 -1.599e-02 1.746e-02 -3.064e-03 0.000e+00
27 -1.146e-02 1.666e-02 1.607e-02 0.000e+00
28 -2.530e-03 2.302e-02 3.764e-02 -1.944e+01
29 5.823e-03 9.256e-03 -1.251e-02 0.000e+00
30 1.323e-02 1.919e-03 -1.313e-02 0.000e+00
31 -2.819e-02 -1.518e-02 6.089e-03 0.000e+00
32 -2.237e-02 2.416e-03 -3.062e-02 0.000e+00
33 5.783e-03 -1.214e-02 -1.084e-02 0.000e+00
