Bin I L V PA
0 2.900e-02 -2.662e-02 -2.682e-02 0.000e+00
1 -1.325e-02 -1.270e-02 9.830e-03 0.000e+00
2 6.622e-03 4.438e-03 -1.254e-02 0.000e+00
3 -2.687e-02 -1.165e-02 -4.036e-02 0.000e+00
4 -1.280e-02 -1.823e-02 6.907e-03 0.000e+00
5 2.850e-02 -1.895e-02 -8.491e-03 0.000e+00
6 8.062e-03 9.575e-04 6.249e-03 0.000e+00
7 -2.368e-02 -2.069e-02 1.304e-02 0.000e+00
8 1.045e-02 1.007e-02 -5.945e-03 0.000e+00
9 -4.985e-03 -1.419e-02 9.546e-03 0.000e+00
10 1.261e-03 5.926e-03 -6.040e-03 0.000e+00
11 1.259e-02 -2.083e-02 2.335e-02 0.000e+00
12 5.896e-04 1.605e-02 1.921e-02 0.000e+00
13 -3.106e-03 -2.668e-02 -4.895e-03 0.000e+00
14 -1.380e-02 -1.696e-02 3.322e-02 0.000e+00
15 -7.305e-03 -1.699e-02 -1.743e-02 0.000e+00
16 -3.517e-02 -1.977e-02 2.208e-03 0.000e+00
17 2.256e-02 2.732e-02 -1.537e-03 0.000e+00
18 -8.600e-03 5.764e-03 1.453e-02 0.000e+00
19 -1.734e-02 6.957e-03 1.211e-03 0.000e+00
20 -1.505e-02 -1.249e-03 1.910e-02 0.000e+00
21 8.289e-03 2.397e-02 1.973e-02 0.000e+00
22 -1.966e-03 -2.525e-02 -1.514e-02 0.000e+00
23 4.478e-03 2.797e-02 2.949e-02 0.000e+00
24 4.308e-03 1.444e-02 -2.120e-03 0.000e+00
25 1.582e-02 2.375e-02 -2.034e-02 0.000e+00
26 -1.966e-02 -1.866e-02 2.267e-02 0.000e+00
27 -1.848e-02 -1.486e-02 -4.484e-02 0.000e+00
28 -2.812e-02 -2.191e-02 -2.332e-02 0.000e+00
29 1.860e-02 2.140e-02 2.957e-02 0.000e+00
30 1.130e-02 -2.318e-02 1.997e-02 0.000e+00
31 -1.437e-02 1.920e-02 -2.461e-02 0.000e+00
32 -1.188e-02 9.452e-03 -1.527e-02 0.000e+00
33 -1.065e-03 1.415e-02 -1.023e-02 0.000e+00
34 -2.656e-02 3.258e-02 3.768e-02 -1.986e+01
35 1.248e-02 5.866e-02 5.992e-05 7.651e+00
36 3.660e-02 1.178e-02 -3.429e-03 0.000e+00
37 4.196e-02 -2.212e-02 -1.601e-02 0.000e+00
38 -2.645e-02 -2.740e-03 -1.837e-02 0.000e+00
39 -1.857e-03 6.629e-03 -2.993e-02 0.000e+00
40 -1.096e-02 1.033e-02 1.290e-02 0.000e+00
41 2.675e-03 2.396e-02 2.700e-02 0.000e+00
42 2.492e-02 2.958e-02 1.191e-02 5.427e+01
43 1.496e-02 -1.664e-03 2.521e-02 0.000e+00
44 -3.623e-02 -2.680e-02 -5.993e-03 0.000e+00
45 3.886e-02 -4.182e-03 2.315e-02 0.000e+00
46 -4.424e-02 -2.259e-02 -4.299e-04 0.000e+00
47 1.882e-02 -2.776e-02 8.646e-04 0.000e+00
48 -9.078e-03 -1.355e-02 3.675e-02 0.000e+00
49 1.551e-02 -2.803e-02 -1.210e-02 0.000e+00
50 2.372e-03 -2.231e-02 1.728e-02 0.000e+00
51 1.550e-02 5.129e-03 -1.399e-02 0.000e+00
52 -1.116e-02 1.724e-02 -1.078e-02 0.000e+00
53 2.745e-02 -2.343e-02 1.845e-03 0.000e+00
54 -3.533e-03 -2.172e-02 -1.388e-02 0.000e+00
55 2.800e-02 -1.923e-02 -1.142e-02 0.000e+00
56 -4.327e-02 1.199e-02 -1.054e-02 0.000e+00
57 -1.951e-02 -2.197e-02 -1.010e-02 0.000e+00
58 -3.098e-02 -2.411e-02 -4.549e-02 0.000e+00
59 -1.083e-02 1.550e-02 -7.147e-04 0.000e+00
60 -6.740e-03 1.731e-02 -3.589e-03 0.000e+00
61 -3.453e-03 -7.270e-05 7.265e-03 0.000e+00
62 -1.331e-02 -2.589e-02 1.257e-02 0.000e+00
63 1.127e-04 2.900e-02 -2.637e-02 0.000e+00
64 1.550e-02 2.762e-02 1.634e-02 0.000e+00
65 -6.090e-03 4.384e-03 -2.147e-02 0.000e+00
66 2.311e-03 1.955e-02 2.419e-02 0.000e+00
67 -2.627e-02 -2.468e-02 -1.205e-02 0.000e+00
68 6.049e-02 4.448e-03 3.792e-04 0.000e+00
69 1.492e-02 -2.438e-02 -5.749e-03 0.000e+00
70 1.050e-02 -2.728e-02 -5.278e-03 0.000e+00
71 4.307e-02 -1.411e-02 -2.535e-02 0.000e+00
72 2.548e-02 1.050e-02 5.956e-03 0.000e+00
73 3.886e-02 -2.641e-02 -2.450e-02 0.000e+00
74 -1.058e-02 -1.862e-02 -8.240e-03 0.000e+00
75 3.572e-02 -2.804e-02 -3.066e-02 0.000e+00
76 -2.510e-02 -2.382e-02 -1.190e-02 0.000e+00
77 -1.969e-02 -1.868e-02 3.931e-03 0.000e+00
78 5.056e-03 -1.578e-02 4.298e-02 0.000e+00
79 -8.048e-03 -2.824e-02 -2.119e-02 0.000e+00
80 2.680e-02 1.923e-02 1.157e-02 0.000e+00
81 -2.555e-02 -1.921e-02 3.742e-03 0.000e+00
82 1.467e-02 -2.790e-02 -1.577e-03 0.000e+00
