Bin I L V PA
0 4.620e-03 -5.318e-03 2.900e-03 0.000e+00
1 -3.696e-03 -2.689e-03 -4.664e-03 0.000e+00
2 1.462e-03 4.668e-03 -1.420e-03 0.000e+00
3 7.632e-04 -3.827e-03 -2.372e-04 0.000e+00
4 -5.758e-04 2.353e-03 -3.519e-03 0.000e+00
5 -6.468e-03 2.310e-03 3.921e-03 0.000e+00
6 -3.089e-03 8.244e-03 4.550e-04 2.701e+01
7 -7.179e-03 4.300e-03 -1.054e-03 0.000e+00
8 -1.690e-03 -3.904e-03 -2.520e-03 0.000e+00
9 5.786e-03 -4.427e-03 -7.608e-05 0.000e+00
10 -7.114e-03 3.195e-03 -3.872e-03 0.000e+00
11 9.528e-05 4.643e-03 -1.696e-03 0.000e+00
12 -6.386e-04 4.214e-03 -2.321e-03 0.000e+00
13 3.781e-03 -4.951e-03 -1.206e-03 0.000e+00
14 -2.668e-04 4.601e-03 -5.520e-03 0.000e+00
15 4.050e-03 -3.894e-03 2.773e-03 0.000e+00
16 -3.456e-03 -4.637e-03 3.904e-03 0.000e+00
17 4.847e-03 3.043e-03 -5.721e-04 0.000e+00
18 -8.414e-03 -4.680e-04 1.720e-03 0.000e+00
19 -1.800e-03 -3.417e-03 1.631e-03 0.000e+00
20 -3.880e-03 1.014e-03 7.247e-04 0.000e+00
21 1.737e-04 6.793e-03 -9.524e-04 -1.658e+01
22 -3.342e-03 1.746e-03 1.209e-03 0.000e+00
23 -6.382e-04 5.052e-03 -4.249e-03 0.000e+00
24 -1.098e-03 -4.651e-03 4.542e-03 0.000e+00
25 -8.890e-03 -5.370e-03 5.542e-03 0.000e+00
26 3.009e-03 -5.465e-03 -4.987e-03 0.000e+00
27 -2.435e-03 -4.821e-03 -2.867e-03 0.000e+00
28 1.108e-03 -5.362e-03 -8.341e-03 0.000e+00
29 -2.185e-03 5.400e-03 -2.461e-03 0.000e+00
30 5.947e-04 4.810e-03 6.187e-03 0.000e+00
31 -1.893e-03 4.296e-05 1.773e-03 0.000e+00
32 -6.250e-04 -5.321e-03 -2.204e-03 0.000e+00
33 9.276e-04 5.437e-03 2.417e-03 0.000e+00
34 -3.098e-04 5.629e-03 3.496e-03 0.000e+00
35 3.447e-03 7.965e-04 1.134e-03 0.000e+00
36 6.656e-03 5.774e-03 8.440e-04 0.000e+00
37 -4.340e-03 -5.428e-03 3.378e-03 0.000e+00
