Bin I L V PA
0 -3.503e-02 1.715e-02 5.474e-03 0.000e+00
1 7.287e-03 6.183e-03 -1.036e-04 0.000e+00
2 -1.816e-03 -2.143e-02 -1.785e-02 0.000e+00
3 2.394e-03 1.623e-02 2.598e-03 0.000e+00
4 2.336e-02 -3.942e-03 5.641e-03 0.000e+00
5 5.301e-03 -3.575e-03 2.053e-03 0.000e+00
6 -1.484e-02 -1.309e-02 -1.900e-04 0.000e+00
7 -9.226e-03 9.957e-03 -1.173e-02 0.000e+00
8 1.245e-02 -2.226e-02 -8.508e-03 0.000e+00
9 -1.251e-02 2.917e-02 -2.621e-02 1.120e+02
10 -1.127e-02 -2.901e-03 -7.492e-03 0.000e+00
11 2.496e-02 7.903e-03 5.746e-04 0.000e+00
12 5.355e-03 -1.992e-02 -1.699e-03 0.000e+00
13 -2.263e-02 -1.822e-02 3.672e-03 0.000e+00
14 -2.204e-04 -2.085e-02 -8.036e-03 0.000e+00
15 -1.472e-03 -1.709e-02 -8.622e-03 0.000e+00
16 -3.449e-02 3.305e-03 1.257e-03 0.000e+00
17 -2.889e-02 -2.172e-02 1.534e-02 0.000e+00
18 -2.735e-02 1.918e-02 -1.884e-03 0.000e+00
19 -1.367e-02 8.374e-04 1.780e-02 0.000e+00
20 -1.641e-02 1.307e-02 8.244e-03 0.000e+00
21 -4.032e-03 -2.269e-02 8.617e-03 0.000e+00
22 -2.438e-02 1.357e-02 2.062e-03 0.000e+00
23 1.386e-02 -5.377e-03 -2.804e-02 0.000e+00
24 -7.958e-03 7.313e-03 2.281e-03 0.000e+00
25 -2.157e-02 4.583e-03 -5.070e-03 0.000e+00
26 -1.249e-02 -1.714e-02 -4.555e-04 0.000e+00
27 8.205e-03 8.056e-03 7.563e-03 0.000e+00
28 -2.305e-02 7.505e-04 -1.111e-03 0.000e+00
29 2.337e-02 -2.105e-02 -1.404e-02 0.000e+00
30 2.170e-02 -1.952e-02 -7.867e-03 0.000e+00
31 -3.987e-03 -1.961e-02 -5.639e-03 0.000e+00
32 -1.118e-02 -1.065e-02 -1.037e-03 0.000e+00
33 8.682e-03 -4.893e-03 -7.043e-03 0.000e+00
34 -2.673e-02 -1.951e-02 1.875e-02 0.000e+00
35 -1.433e-02 1.174e-03 -2.532e-02 0.000e+00
36 -2.864e-02 -2.182e-03 -1.587e-02 0.000e+00
37 5.929e-03 -2.135e-02 -7.027e-03 0.000e+00
38 2.506e-02 2.199e-03 2.682e-02 0.000e+00
39 5.602e-03 2.368e-02 2.288e-03 -3.295e+01
40 -1.057e-02 -2.063e-02 9.060e-03 0.000e+00
41 -1.016e-02 1.506e-02 1.825e-02 0.000e+00
42 -8.590e-03 5.025e-03 -1.076e-02 0.000e+00
43 2.334e-02 1.244e-03 5.036e-03 0.000e+00
44 -1.655e-03 6.799e-03 -9.932e-04 0.000e+00
45 -2.144e-02 7.472e-03 4.746e-03 0.000e+00
46 -2.042e-03 -1.943e-03 -1.659e-02 0.000e+00
47 -9.694e-03 -1.868e-02 -8.468e-03 0.000e+00
48 -3.555e-03 1.649e-02 -2.047e-02 0.000e+00
49 1.551e-03 -1.877e-02 2.510e-03 0.000e+00
50 2.260e-02 1.327e-02 -9.890e-03 0.000e+00
51 6.241e-03 -1.605e-02 1.205e-02 0.000e+00
52 3.782e-02 -2.196e-02 2.473e-03 0.000e+00
53 8.645e-03 -1.539e-02 -1.479e-02 0.000e+00
54 5.473e-03 -2.151e-02 -1.213e-02 0.000e+00
55 8.763e-04 -1.973e-02 -1.417e-02 0.000e+00
56 3.035e-02 1.213e-03 8.124e-03 0.000e+00
57 1.573e-02 2.122e-04 -2.048e-04 0.000e+00
58 8.080e-04 2.253e-03 -1.171e-02 0.000e+00
59 -2.210e-03 6.773e-03 -8.109e-03 0.000e+00
60 4.398e-02 2.263e-02 -2.262e-02 0.000e+00
61 1.712e-02 -2.200e-02 1.230e-03 0.000e+00
62 2.371e-02 -1.719e-02 -1.946e-02 0.000e+00
63 2.589e-02 -1.589e-02 -2.108e-02 0.000e+00
64 3.077e-02 2.189e-02 -5.201e-03 0.000e+00
65 4.319e-02 -1.816e-02 -1.168e-02 0.000e+00
66 3.793e-02 -1.407e-02 -2.036e-04 0.000e+00
67 2.675e-02 -2.050e-02 5.278e-03 0.000e+00
68 2.511e-02 -2.039e-02 -3.597e-02 0.000e+00
69 4.446e-02 -2.105e-02 -1.200e-02 0.000e+00
70 4.911e-02 -9.618e-04 -1.816e-02 0.000e+00
71 2.416e-02 -1.564e-02 -9.551e-03 0.000e+00
72 2.312e-02 2.472e-02 -2.414e-02 4.483e+01
73 7.020e-03 1.201e-02 -6.662e-04 0.000e+00
74 4.070e-02 -1.516e-02 -1.005e-03 0.000e+00
75 3.595e-02 1.650e-03 -1.064e-02 0.000e+00
76 3.798e-02 1.851e-04 -1.046e-02 0.000e+00
77 2.404e-02 8.389e-03 -4.801e-03 0.000e+00
78 4.001e-02 2.559e-02 8.615e-04 4.549e+01
79 1.930e-02 2.120e-02 -1.329e-02 0.000e+00
80 7.680e-03 -2.279e-02 2.290e-02 0.000e+00
81 -1.148e-02 1.919e-02 -1.203e-02 0.000e+00
82 1.075e-02 1.825e-02 -1.423e-02 0.000e+00
83 1.725e-02 -1.836e-02 -1.664e-02 0.000e+00
84 1.311e-02 -1.188e-02 -1.505e-03 0.000e+00
85 2.527e-02 1.798e-02 7.469e-03 0.000e+00
86 1.680e-03 2.080e-02 1.662e-03 0.000e+00
87 2.611e-02 1.132e-02 -2.489e-03 0.000e+00
88 1.887e-02 1.788e-02 -4.943e-03 0.000e+00
89 2.360e-02 -1.642e-02 9.640e-03 0.000e+00
90 3.607e-02 1.116e-02 2.867e-04 0.000e+00
91 4.273e-02 2.232e-02 -2.326e-02 0.000e+00
92 4.182e-02 1.416e-02 -5.670e-03 0.000e+00
93 3.688e-02 2.883e-02 -2.260e-02 6.748e+01
94 3.003e-02 2.192e-02 -3.808e-03 0.000e+00
95 5.148e-02 4.057e-02 1.618e-02 4.852e+01
96 8.114e-02 1.907e-02 -1.766e-02 0.000e+00
97 1.055e-01 2.925e-02 -1.480e-02 5.528e+01
98 9.514e-02 3.364e-02 -1.357e-02 5.075e+01
99 1.294e-01 3.772e-02 -1.976e-02 6.928e+01
100 1.474e-01 3.952e-02 -2.715e-02 6.101e+01
101 1.897e-01 5.856e-02 -2.324e-02 6.068e+01
102 2.411e-01 4.591e-02 -2.176e-02 5.804e+01
103 2.741e-01 1.395e-02 -4.251e-02 0.000e+00
104 4.126e-01 1.208e-02 -5.226e-02 0.000e+00
105 5.343e-01 2.971e-02 -3.424e-02 4.542e+01
106 6.948e-01 3.888e-02 -4.120e-02 6.034e+01
107 8.343e-01 4.583e-02 -4.530e-02 4.983e+01
108 9.027e-01 4.484e-02 -2.324e-02 5.567e+00
109 9.889e-01 1.598e-01 4.458e-02 -1.368e+01
110 1.000e+00 2.616e-01 7.696e-02 -1.171e+01
