Bin I L V PA
0 7.089e-02 -4.455e-03 -1.161e-02 0.000e+00
1 1.380e-01 -1.396e-01 -8.357e-02 0.000e+00
2 -6.900e-02 1.003e-01 -2.870e-04 0.000e+00
3 6.746e-02 1.105e-01 -1.686e-02 0.000e+00
4 -2.423e-02 -1.302e-01 4.524e-03 0.000e+00
5 -1.244e-01 5.698e-02 6.068e-02 0.000e+00
6 -7.910e-02 -1.409e-01 3.962e-02 0.000e+00
7 4.958e-02 1.209e-01 -4.764e-03 8.278e+01
8 2.254e-02 -1.197e-01 1.728e-01 0.000e+00
9 7.868e-02 -4.414e-03 2.870e-04 0.000e+00
10 -3.406e-02 8.495e-03 -1.883e-02 0.000e+00
11 -8.135e-02 1.213e-01 5.011e-02 -3.862e+01
12 1.278e-02 6.164e-02 -1.688e-02 0.000e+00
13 -8.611e-02 2.726e-02 -5.528e-02 0.000e+00
14 -4.111e-03 -1.198e-01 1.514e-02 0.000e+00
15 1.793e-02 8.357e-02 -8.272e-02 0.000e+00
16 -4.251e-02 -1.285e-01 1.429e-01 0.000e+00
17 -4.507e-02 -1.285e-01 -3.967e-02 0.000e+00
18 8.270e-02 -1.185e-01 8.203e-02 0.000e+00
19 7.122e-02 -7.838e-02 -1.736e-01 0.000e+00
20 -9.449e-02 1.031e-01 8.083e-02 0.000e+00
21 -1.351e-01 1.319e-01 -1.877e-02 3.588e+01
22 1.676e-02 4.995e-02 1.013e-01 0.000e+00
23 3.721e-02 9.690e-02 4.212e-04 0.000e+00
24 4.049e-02 6.478e-02 -1.295e-01 0.000e+00
25 8.050e-02 9.568e-02 -4.549e-02 0.000e+00
26 9.295e-03 -2.007e-02 2.926e-02 0.000e+00
27 -1.725e-03 -1.339e-01 -9.588e-02 0.000e+00
28 -1.944e-01 -2.145e-02 3.098e-02 0.000e+00
29 -8.826e-04 -1.212e-01 6.502e-02 0.000e+00
30 -6.983e-03 -1.060e-01 -1.526e-01 0.000e+00
31 9.367e-02 3.037e-02 -4.267e-02 0.000e+00
32 5.439e-02 9.021e-02 7.445e-02 0.000e+00
33 2.427e-01 -1.109e-01 1.023e-01 0.000e+00
34 2.431e-01 9.862e-02 -2.130e-01 0.000e+00
35 4.413e-01 2.300e-01 5.533e-02 3.028e+01
36 1.000e+00 6.032e-01 2.354e-02 5.991e+01
37 9.493e-01 5.536e-01 6.747e-02 6.491e+01
38 2.341e-01 1.463e-01 1.429e-02 9.149e+01
39 5.274e-03 -1.420e-01 -1.622e-03 0.000e+00
40 1.364e-01 -2.453e-02 4.363e-02 0.000e+00
41 4.753e-02 5.310e-02 -1.849e-01 0.000e+00
42 -6.188e-02 -1.421e-01 -1.980e-01 0.000e+00
43 -2.794e-02 9.638e-02 1.685e-01 0.000e+00
44 2.248e-02 1.440e-01 1.021e-01 1.064e+01
45 5.970e-03 -4.485e-02 -5.772e-02 0.000e+00
46 -5.951e-02 -2.651e-03 1.155e-01 0.000e+00
47 -7.156e-02 7.000e-02 9.033e-02 0.000e+00
48 -5.398e-02 -1.303e-02 -1.726e-02 0.000e+00
49 -7.289e-02 1.683e-02 8.030e-02 0.000e+00
50 1.319e-01 3.608e-02 8.809e-02 0.000e+00
51 1.047e-01 4.862e-02 8.723e-02 0.000e+00
52 6.058e-03 -1.420e-01 -5.981e-02 0.000e+00
53 -8.254e-02 -1.369e-01 7.691e-03 0.000e+00
54 1.091e-01 9.677e-02 -6.753e-02 0.000e+00
55 -8.467e-02 -1.336e-01 -3.958e-02 0.000e+00
56 1.540e-01 2.651e-03 -4.790e-02 0.000e+00
57 -8.577e-02 -1.420e-01 -3.229e-02 0.000e+00
58 -9.370e-02 -1.587e-02 2.177e-02 0.000e+00
59 8.826e-04 -1.384e-01 1.242e-02 0.000e+00
60 -1.373e-01 1.537e-02 -9.176e-03 0.000e+00
61 2.873e-02 9.750e-02 1.521e-01 0.000e+00
62 8.533e-02 8.016e-02 -1.892e-01 0.000e+00
63 5.554e-02 -1.250e-01 7.078e-02 0.000e+00
