Bin I L V PA
0 2.557e-02 4.430e-02 -2.476e-02 0.000e+00
1 3.663e-03 4.734e-02 2.002e-03 1.247e+02
2 -1.644e-02 7.950e-03 -4.209e-02 0.000e+00
3 -5.245e-03 5.756e-02 -3.284e-02 -1.076e+01
4 -1.205e-02 2.146e-02 -5.606e-02 0.000e+00
5 -5.980e-03 -3.906e-02 5.662e-03 0.000e+00
6 4.717e-02 6.338e-03 -5.063e-02 0.000e+00
7 4.093e-03 1.662e-02 5.556e-02 0.000e+00
8 -3.844e-03 -3.062e-03 -2.996e-02 0.000e+00
9 -3.265e-02 2.301e-02 2.727e-02 0.000e+00
10 -4.597e-02 -3.817e-02 1.207e-03 0.000e+00
11 1.380e-03 -2.155e-03 -1.662e-02 0.000e+00
12 -1.390e-02 -3.603e-02 1.733e-02 0.000e+00
13 3.349e-02 1.925e-02 2.925e-02 0.000e+00
14 3.414e-02 2.479e-02 -3.035e-02 0.000e+00
15 4.416e-02 -2.857e-02 -2.638e-02 0.000e+00
16 -2.803e-02 1.974e-02 1.125e-02 0.000e+00
17 -1.676e-02 4.978e-02 1.126e-02 -3.937e+01
18 3.764e-02 1.397e-02 4.683e-02 0.000e+00
19 2.077e-02 -4.207e-02 5.949e-03 0.000e+00
20 1.619e-02 -2.839e-02 5.334e-02 0.000e+00
21 -1.205e-02 -1.946e-02 -3.005e-02 0.000e+00
22 2.076e-02 -3.752e-02 -2.850e-02 0.000e+00
23 -6.836e-03 3.120e-02 1.511e-03 0.000e+00
24 -2.487e-02 -2.723e-02 2.189e-02 0.000e+00
25 5.566e-02 6.442e-03 -5.799e-02 0.000e+00
26 6.253e-02 1.054e-02 -1.423e-02 0.000e+00
27 1.158e-02 -2.249e-02 -3.501e-02 0.000e+00
28 1.027e-01 2.719e-02 3.847e-02 0.000e+00
29 5.660e-02 4.169e-02 -2.542e-02 0.000e+00
30 1.327e-01 -2.736e-02 -3.308e-02 0.000e+00
31 4.235e-01 1.669e-01 -2.295e-02 1.168e+02
32 1.000e+00 1.495e-01 -4.972e-02 1.103e+02
33 9.657e-01 2.069e-01 4.293e-02 1.266e+00
34 8.461e-01 3.026e-01 1.588e-02 2.931e+00
35 7.841e-01 2.035e-01 5.686e-03 -2.728e-01
36 6.610e-01 1.388e-01 -2.176e-02 -1.274e+00
37 3.549e-01 5.941e-02 2.540e-02 2.669e+00
38 3.424e-01 2.201e-02 -5.635e-02 0.000e+00
39 2.436e-01 7.695e-02 -8.766e-02 1.337e+01
40 1.862e-01 -2.763e-02 2.636e-02 0.000e+00
41 3.863e-02 -3.455e-02 -3.930e-02 0.000e+00
42 3.009e-02 -1.764e-03 4.657e-03 0.000e+00
43 -1.125e-02 3.760e-02 -1.006e-02 0.000e+00
44 2.762e-02 5.553e-02 -1.064e-02 -2.955e+01
45 4.413e-02 4.609e-03 -1.610e-02 0.000e+00
46 4.275e-02 2.113e-02 -4.294e-02 0.000e+00
47 -3.423e-02 -4.193e-02 -2.143e-03 0.000e+00
48 -1.388e-02 -2.626e-02 -2.724e-03 0.000e+00
49 1.761e-02 -2.869e-02 4.149e-03 0.000e+00
50 3.804e-02 4.790e-02 1.565e-02 1.134e+02
51 3.067e-04 -4.021e-02 2.833e-02 0.000e+00
52 4.412e-02 -3.631e-02 -9.462e-03 0.000e+00
53 -5.212e-03 -3.481e-02 -1.981e-02 0.000e+00
54 -3.067e-04 -2.150e-02 5.196e-03 0.000e+00
55 1.691e-02 1.505e-02 3.643e-02 0.000e+00
56 -7.256e-03 2.155e-03 -1.207e-03 0.000e+00
57 -2.145e-02 3.576e-02 7.431e-03 0.000e+00
58 1.434e-02 -2.522e-02 -3.649e-02 0.000e+00
59 -3.539e-03 7.154e-02 -4.898e-02 1.332e+02
60 -5.411e-02 -3.001e-02 -3.658e-02 0.000e+00
61 -6.119e-03 -3.674e-02 1.568e-02 0.000e+00
62 3.344e-02 -3.200e-02 -4.134e-02 0.000e+00
63 9.645e-02 5.362e-02 4.876e-03 -2.815e+01
