"PSRJ","Mode"
"J0108-1431","Xs"
"J0134-2937","Od"
"J0151-0635","Od?"
"J0304+1932","Od"
"J0343-3000","OXO?"
"J0448-2749","Xs"
"J0459-0210","Xs"
"J0517+2212","Od"
"J0533+0402","Xs"
"J0534-6703","Xs"
"J0536-7543","Xd"
"J0543+2329","Xs"
"J0614+2229","Xs"
"J0630-2834","Xs"
"J0631+1036","?"
"J0633-2015","Xd"
"J0636-4549","Xs"
"J0646+0905","Xs"
"J0647+0913","Od"
"J0656-2228","Os"
"J0659+1414","Xs"
"J0711+0931","Os"
"J0719-2545","Xd"
"J0729-1448","Xs"
"J0729-1836","Od"
"J0742-2822","Xt"
"J0812-3905","Od"
"J0820-1350","Od"
"J0835-4510","Xs"
"J0837+0610","Od"
"J0837-4135","Xs"
"J0843-5022","Xs"
"J0846-3533","Xs"
"J0847-4316","Xs"
"J0849-6322","Xd"
"J0856-6137","Xs"
"J0857-4424","Xs"
"J0901-4624","Xs?"
"J0904-4246","Xd?"
"J0904-7459","Xs"
"J0905-5127","Xd"
"J0907-5157","Od"
"J0908-4913","Os,Od"
"J0909-7212","Od"
"J0912-3851","Od?Xd?"
"J0922+0638","Xs"
"J0922-4949","Xs"
"J0924-5814","Xs"
"J0934-5249","Xs"
"J0942-5552","Od?"
"J0942-5657","Xs"
"J0944-1354","Xs"
"J0945-4833","Xs"
"J0952-3839","Os?"
"J0953+0755","Xs"
"J0954-5430","Xd"
"J0955-5304","Od?"
"J0957-5432","Xs"
"J0959-4809","Od?"
"J1000-5149","Xs"
"J1002-5919","Od?"
"J1013-5934","Od"
"J1015-5719","Od"
"J1020-5921","Xs?"
"J1032-5206","Od"
"J1036-4926","(O)XO?"
"J1038-5831","Od?"
"J1041-1942","Od?"
"J1042-5521","Xs"
"J1047-6709","Xs"
"J1048-5832","Xs"
"J1049-5833","Os"
"J1054-6452","Xs"
"J1055-6905","Os"
"J1056-6258","Xs"
"J1057-7914","Xs?"
"J1059-5742","Xs"
"J1103-6025","Xs?"
"J1104-6103","Xs"
"J1105-6107","Xd"
"J1110-5637","Od"
"J1112-6613","Od"
"J1112-6926","Xd?Od?"
"J1116-2444","OXO?"
"J1117-6154","?"
"J1119-6127","Os"
"J1119-7936","Od"
"J1121-5444","?"
"J1123-4844","Od"
"J1123-6102","Xs"
"J1123-6259","Xs"
"J1124-5638","Od"
"J1132-4700","Od?"
"J1133-6250","?"
"J1136+1551","Od"
"J1136-5525","Os"
"J1141-3107","Od"
"J1141-3322","Ot"
"J1141-6545","Xs"
"J1142-6230","Od"
"J1143-5536","Os"
"J1146-6030","XOX?"
"J1148-5725","Xd"
"J1151-6108","Xd"
"J1159-6409","Od?"
"J1159-7910","Od"
"J1202-5820","Xs"
"J1204-6843","Xd"
"J1210-5559","Od?"
"J1210-6550","Os?"
"J1211-6324","Od?"
"J1214-5830","Xs"
"J1215-5328","Od"
"J1220-6318","Od?"
"J1222-5738","Xs"
"J1224-6208","Xs?"
"J1224-6407","(O)X(O)?"
"J1225-5556","Od"
"J1231-4609","Xd"
"J1232-4742","Od?"
"J1234-3630","Od"
"J1239-6832","Xs?"
"J1243-6423","Xs?"
"J1245-6238","Od?"
"J1246+2253","Xd"
"1251-7407","Xs"
"J1252-6314","Od?"
"J1253-5820","Xs"
"J1254-6150","Xs"
"J1257-1027","(O?)Xs"
"J1259-6741","Od"
"J1301-6305","Os"
"J1301-6310","Xs"
"J1302-6350","Os"
"J1306-6617","Os"
"J1308-4650","Od?"
"J1308-5844","Xs?"
"J1311-1228","Xs"
"J1312-5402","Os"
"J1312-5516","Os"
"J1312-6400","Xs?"
"J1319-6056","Xs"
"J1319-6105","Xs"
"J1320-5359","Xs"
"J1322-6241","Os"
"J1326-6700","Od?"
"J1327-6222","Os"
"J1328-4357","Xs"
"J1331-5245","Od"
"J1333-4449","Xs?"
"J1339-6618","Od"
"J1340-6456","Os"
"J1341-6023","Xs"
"J1341-6220","Os"
"J1345-6115","Od"
"J1350-5115","Os"
"J1352-6803","Xs"
"J1355-5153","Os"
"J1357-6429","Os"
"J1359-6038","Xs"
"J1401-6357","Os?"
"J1402-5124","Od"
"J1403-7646","Od"
"J1404+1159","Os"
"J1412-6111","Os"
"J1412-6145","Xs"
"J1413-6222","Xs?"
"J1414-6802","Xs"
"J1416-6037","Od"
"J1418-3921","Xs?"
"J1420-5416","Xs"
"J1420-6048","Od"
"J1424-6438","Od"
"J1427-4158","Xd?"
"J1428-5530","Os?"
"J1429-5935","Os?"
"J1430-6623","(O)X(O)?"
"J1435-5954","Od"
"J1443-5122","Xs"
"J1449-5846","Xd?"
"J1452-5851","Xs"
"J1452-6036","Od?"
"J1453-6413","Xs"
"J1457-5902","Xs?"
"J1501-0046","Xd"
"J1502-5653","Xs"
"J1502-6128","Xd?"
"J1507-4352","Xs"
"J1507-6640","Xs?"
"J1509-6015","Xs?"
"J1511-5414","Xs?"
"J1512-5431","Od"
"J1513-5739","Os"
"J1513-5908","Od"
"J1514-4834","Od?"
"J1517-4356","Os"
"J1517-4636","Xs"
"J1518-3952","(O)XO?"
"J1519-6106","Os"
"J1524-5625","Od"
"J1524-5706","Xs"
"J1524-5819","Xs"
"J1525-5417","Xs"
"J1527-3931","Od"
"J1528-4109","OXO?"
"J1530-5327","Xd?"
"J1530-6343","Od"
"J1531-4012","Os"
"J1531-5610","Od"
"J1534-4428","Od?"
"J1535-4114","Xd"
"J1535-4415","Od"
"J1535-5848","Xs"
"J1536-3602","Od"
"J1537-4912","Od"
"J1537-5153","Od"
"J1538+2345","Od?"
"J1539-6322","Xd?Od?"
"J1542-5303","Xd?"
"J1543-0620","Os"
"J1543-5459","Os"
"J1548-4927","Od?"
"J1548-5607","Xs"
"J1549-4848","Xs"
"J1550-5242","Xs"
"J1555-2341","Xs"
"J1555-3134","OXO?"
"J1558-5756","Xs?"
"J1559-4438","Xs"
"J1600-5044","Xs?"
"J1600-5751","OXO"
"J1601-5335","Xs?"
"J1602-5100","OXO"
"J1603-2531","Os?"
"J1603-2712","Xs"
"J1603-5657","Xs"
"J1604-4909","OXO"
"J1604-7203","OXO?"
"J1605-5257","Xd?"
"J1610-5006","Os"
"J1611-4949","Os"
"J1611-5847","Xs"
"J1612+2008","O(d)?"
"J1612-5805","O(d)?"
"J1614+0737","Os?"
"J1614-3937","Xd"
"J1614-5048","Os"
"J1614-5144","Os"
"J1615-5537","Xd"
"J1616-5017","Xs"
"J1617-4216","Os"
"J1617-4608","Xs"
"J1618-4723","Xd"
"J1621-5039","Xd?"
"J1622-3751","Od"
"J1622-4332","Od"
"J1622-4347","Xd"
"J1622-4802","Xs"
"J1622-4950","Os"
"J1623-0908","Xs?"
"J1624-4411","Od?"
"J1625-4048","OXO?"
"J1626-4537","Os"
"J1626-6621","OX(O)"
"J1627-5936","Xd?"
"J1630-4719","Os?"
"J1632-1013","Od"
"J1632-4621","Xs"
"J1632-4818","Xs"
"J1633-4453","Xs"
"J1635-4944","Xs?"
"J1635-5954","OXO?"
"J1636-2614","Xs"
"J1637-4642","Od"
"J1638-3815","Od"
"J1638-3951","Od"
"J1638-4344","Od"
"J1639-4604","Os?"
"J1643-4505","Xs"
"J1644-4559","Xs"
"J1646-6831","OXO"
"J1648-4611","Xs"
"J1648-6044","Os"
"J1650-1654","Od"
"J1651-1709","Od?"
"J1651-4246","Xd?"
"J1651-5222","Xd"
"J1653-3838","OX(O)"
"J1653-4249","Xs"
"J1654-3710","Xd?"
"J1655-3048","Xd?"
"J1655-3844","Xs"
"J1659-1305","OXO?"
"J1700-3312","Od"
"J1700-3919","Od"
"J1700-4939","Xs?"
"J1701-3130","Od?"
"J1701-4533","Xs"
"J1703-1846","Os"
"J1703-3241","Od"
"J1703-4442","Od"
"J1703-4851","OXO"
"J1705-1906","Xd"
"J1705-3423","Os"
"J1705-3950","Xs"
"J1707-4341","Xs?"
"J1707-4417","Od?"
"J1707-4729","OX(O)?"
"J1709-1640","Xs?"
"J1709-3626","Xs"
"J1709-4401","Xs"
"J1709-4429","Os"
"J1711-1509","Xs?"
"J1711-5350","Xs?"
"J1714-1054","Xs"
"J1715-3903","Xs"
"J1716-4711","OX(O)?"
"J1717-3425","Od"
"J1717-5800","OXO?"
"J1718-3825","Od"
"J1719-4006","Xs"
"J1720+2150","OX(O)?"
"J1720-0212","Xs"
"J1720-1633","OX(O)?"
"J1720-2933","Od"
"J1720-3659","Os?"
"J1721-3532","Xs"
"J1722-3207","Xd"
"J1722-3632","Od"
"J1722-3712","Xs"
"J1722-4400","Xs"
"J1723-3659","Xs"
"J1727-2739","Od"
"J1728-0007","Od"
"J1730-3350","Xs"
"J1731-4744","Od"
"J1732-4156","Xs?"
"J1733-3716","Xd?"
"J1733-4005","Xs"
"J1734-0212","Xd"
"J1735-0724","OXO?"
"J1737-3102","Xs"
"J1737-3555","Xs"
"J1738-2955","Xs"
"J1738-3211","Os"
"J1739+0612","Xd"
"J1739-1313","Xs?OXO?"
"J1739-2903","Xs"
"J1739-3023","Os"
"J1739-3131","Os"
"J1740+1000","Od"
"J1740+1311","Od"
"J1740-3015","Xs"
"J1741-0840","Od"
"J1741-3927","XOX?"
"J1742-4616","Od"
"J1743-0339","Xd"
"J1743-1351","Xs"
"J1743-3150","Os"
"J1743-3153","Xs?"
"J1743-4212","Od"
"J1744-1610","OXO?"
"J1744-3130","Xs?"
"J1745-0129","Xs"
"J1745-3040","Xs?"
"J1745-3812","Xs"
"J1746+2245","Xs"
"J1748-1300","OXO"
"J1750-3157","Od"
"J1750-3503","Os"
"J1751-3323","Xd"
"J1751-4657","Od"
"J1752-2806","Xs?"
"J1754-3510","Xs?"
"J1755-0903","Xs?"
"J1757-1500","Xd"
"J1757-2421","Od?"
"J1759-2205","Xs?"
"J1759-3107","Od?"
"J1800-0125","Xs"
"J1801-0357","Xs?"
"J1801-2451","Os"
"J1801-2920","Od"
"J1802+0128","Os?"
"J1803-2137","Od?"
"J1803-3329","Od?"
"J1805+0306","OXO"
"J1805-0619","Od"
"J1806-1154","Od"
"J1807-0847","XOX?"
"J1807-2715","OXO?"
"J1808-0813","Os"
"J1808-1020","Os"
"J1808-3249","OX(O)?"
"J1809-0119","Xs"
"J1809-0743","Od"
"J1809-1429","Os"
"J1809-1917","Od"
"J1809-1943","Od?"
"J1809-2109","Xs"
"J1810-5338","XOX?"
"J1811+0702","Xd?Od?"
"J1811-0154","Xs?"
"J1811-4930","Xd"
"J1812-1733","Os?"
"J1812-3039","OXO?"
